,弹幕,label
250,空降成功,1
251,空降成功,1
252,空降成功,1
253,感谢指挥部,1
254,空降成功,1
255,感谢指挥部,1
256,我家的十亩地有人锄了,1
257,空降成功,1
258,空降成功,1
259,空降部队,1
260,空降成功,1
261,空降成功,1
262,空降成功,1
263,空降成功,1
264,空降成功,1
265,感谢指挥部,1
266,空降成功 感谢空指部,1
267,我刚刚空降错了地方,1
268,感谢指挥部！,1
269,报告指挥部，已到达空降地点！请指示！,1
270,空降成功,1
271,空降,1
272,空降成功,1
273,空降成功,1
274,这女巨丑,1
275,老子举报都累了，你们营销号与小学生滚出B站，,1
276,恶心,1
277,还有人吗,1
278,嫖娼,1
279,好尴尬……,1
280,无聊死了,1
281,没人了吗,1
282,没人了？,1
283,小头爸爸在此↓隔壁老王预订,1
284,真的没人啦?,1
285,为什么不说，如果有大奖人物就可以泡你了,1
286,低俗,1
287,低俗,1
288,低俗还浪费食物,1
289,低俗,1
290,日本人属实有病。满了还挤,1
291,这hape玩抖音还玩出优越感了哈哈哈哈,1
292,又看了好久才发现没人了,1
293,我肚子里没人了,1
294,有人还在看吗,1
295,恶心游戏,1
296,恶心,1
297,没弹幕了？,1
298,演技吊打很多艺人了,1
299,我想把这玩意塞垃圾桶里...,1
300,后面地图我们班同款！实名举报没有台湾！台湾再小也是中国的！,1
301,xr賺 济坏錢 裙:786-414-377。,1
302,fcL-O-L疤美 王-者-裙8631047。,1
303,王者狗吧,1
304,什么gou东西，骂UZI,1
305,睿智吧这人,1
306,老子neng死你个孤儿烂裆的畜生,1
307,上海徐汇区的，坐等人肉出来我去找他聊天,1
308,这人只要敢发地址，他就得死,1
309,搞死这个b,1
310,wcnm  gdx    把**毛毛虫放进你**的臭*里,1
311,狗东西你要成第二个寒夜了,1
312,这种人就应该让他到国土之东，米青尽而亡,1
313,孤儿孤儿,1
314,怎么能动不动剁人呢？大家都是文明人，这种事情应该更先进的，科技比如说子弹,1
315,又是一只睿智,1
316,蹭热度的狗,1
317,这种人就是没事找刺激,1
318,CCTV见吧,1
319,哦这人我认识，他母亲前几天死了，他接受不了这些现实所以他经常在网上发一下自己ps的遗照,1
320,这人怕是死了妈吧！,1
321,水军一万条只收70,1
322,人肉了他,1
323,你嘲讽为国争光的冠军？嘲讽电竞路上的追求者？你是不是个中国人？,1
324,别打死就行,1
325,哈哈毒纪他孙子,1
326,提前给你父母上香，惹uzi？亚运会运动员你能黑的？,1
327,这种人什么素质？,1
328,差评，举报，告辞，秒速三连,1
329,别人替祖国争光，这孤儿就在这黑人,1
330,这不就是绿茶么,1
331,前方警告：本视频弹幕素质极低。貌似都是三流社会人士,1
332,建议屏蔽弹幕后食用,1
333,建议屏蔽弹幕后食用,1
334,建议屏蔽弹幕后食用,1
335,建议关掉弹幕 保护智商,1
336,请关闭弹幕食用，一群玻璃心来袭,1
337,感谢前排，难以置信一群人看个综艺也会撕起来,1
338,直觉要引战。。。哎,1
339,乖乖关弹幕,1
340,感觉弹幕很干净啊，果然有些人就是爱到处膈应人，早被屏蔽了,1
341,前方弹幕高能  大型双标狗亮相现场！！  注意关闭弹幕,1
342,这里被很多人讨厌了,1
343,好多人不知道之前全妹说了啥，就现在看这里瞎说,1
344,你家妹子在韩国没人认识好吗,1
345,这地方用力过度了，再加上本来就是新人，被很多人喷了,1
346,不喜欢某一个，人家喜欢其他成员不行？所有人都有观看自由，言论自由，别人说句不喜欢就不行？,1
347,分清楚 大多数人都是来看智孝的好吗 谁看她啊,1
348,这已经不是被喷了，这么多人这么多恶意慢慢的评论，还是被节目的粉丝这样对待,1
349,都别叽歪了 新人都会有被骂的时候 老成员们早年也经历过 在这儿玻璃心那你请看唯粉视频去,1
350,同样的事其他成员做了就是综艺感好，她做了就说她人品有问题，呵呵，仇女吗,1
351,居然会有说老成员不会这么做的 你们看过Running Man么 你们觉得大神光洙哈哈在这个位置不会买很贵的东西？大神在首位可是买了5000的饭好么,1
352,弹幕开始了,1
353,吵个屁，不看的出去,1
354,一个个搞的自己好像多高尚似的但是你们打的字也证明了自己的素质不怎么样,1
355,速度关闭弹幕,1
356,不喜欢就别点进来看，你们脸多大啊，可惜你们不是韩国人，在这里抗议也没用,1
357,节目你家新人开的？没老成员老子还真不看！点进来也是为了封面的懵智，以为所有人都围着新人转？这么自以为是却不知道自己什么东西都不是！,1
358,看个剪辑还能斯比我真服了你们，关弹幕保智商,1
359,老成员不花？   你快别看了   李光洙在这能都花光,1
360,键盘侠加油,1
361,综艺感不是一下把钱花完吧。后面人没分量了好么？？想过这点吗？剩的适当点，后面人才有分量,1
362,那你就去看以前的别来这看有新人的rm,1
363,说什么看不惯左上啊？讨厌她又不是讨厌所有人，你说左上就左上凭什么啊,1
364,垃圾全,1
365,我发现有些人真是搞笑，觉得不好笑，不喜欢全妹，那你干嘛还点进她单独的cut，吃饱了没事干么,1
366,第一次看我也不喜欢，但是第二次看就爱上新人了,1
367,关键是她把钱都用光了，后面的人根本没机会表现，没分量了好吗,1
368,不想看，就滚，一群逗比,1
369,不管她怎么搞笑都让我觉得很尴尬，想学李光洙的定位又太刻意，全整个人像没脑子一样,1
370,她就是这样过度想搞笑才惹人讨厌 就是烦她 来看懵的怎么了 有意见滚,1
371,真的是喜欢不起来用脑子想想就知到这样不好啊,1
372,让人别骂的你可以关弹幕啊,1
373,管人家韩综怎么做呢你们在这高潮，我就不信其他人能真饿着？你们也太娇贵了吧,1
374,没笑出来还挺厉害，天天嚷着不要KY，自己还不是搞得欢快,1
375,ky的人好多...,1
376,比比什么，7012 懂个毛啊,1
377,不喜欢你还要看那你不是有病？,1
378,不喜欢你还要看那你不是有病？,1
379,不喜欢你还要看那你不是有病？,1
380,不喜欢你还要看那你不是有病？,1
381,不喜欢你还要看那你不是有病？,1
382,吃柠檬吧你，为了懵智进来的，把你家主子名字去掉，我们也会点进来的,1
383,就是恶心这种老鼠屎,1
384,这叫错误？？？  一群傻狗,1
385,rm只有七个人,1
386,一群人BB没完没了，光洙第一个去买的话你们认为光洙会留多少给后面，这是综艺节目好吗？每个人都有自己的人设,1
387,标题是国旻兄妹，点进来说不看全妹还墨迹的ky,1
388,得了你们全姐姐最好了，好看还救了节目，自私就是自私，有啥好洗地的？,1
389,可怜之人必有可恨之处啊，那么多人讨厌全不是没有道理的,1
390,关弹保智,1
391,把你们装的，只会躲这吗,1
392,爱看就看，不看左上角,1
393,戏精来了,1
394,在这ky就是有礼貌了？,1
395,随意释放不正确的需要也算没家教？？？你家家教这么讲究 怎么会说出你这种屁话,1
396,好多弹幕啊很多都说不看新的奇怪怎么跑到这儿的,1
397,我觉得挺好看 看不懂一群b在喷什么 不想看还要看,1
398,真滴模仿光洙啊，有点让人反感,1
399,对比一下吧，李多熙小姐姐为什么那么多人喜欢。,1
400,真的觉得她有时候脑回路新奇，有点让人讨厌,1
401,神经病，人家做综艺，要的是效果，收视率好了，键盘侠可以爱看不看了,1
402,这些小杠杠我看的都尴尬,1
403,真是皇上不生气一帮太监生气，人家一起都不说啥就你们在这儿这么气，多管好自己不吗？,1
404,李多熙让人喜欢，你怕是要去看眼科了,1
405,为什么智孝做这个就没人喷，她一做就有人喷，你们想想吧?(?`^′?)?,1
406,无语，一群玻璃心，第一次看rm嘛？无非就是针对新人而已，说得这么冠冕堂皇,1
407,不搞笑，不好看。讨厌的你丫的滚啊，说啥啊,1
408,不喜欢李多喜，李多喜真的蠢,1
409,弹幕里的朋友们适合去工地，真会抬杠,1
410,这一段戏精上身了？,1
411,切，一帮睿智，刘大神第一个去不也点了6000的,1
412,说作的你可以出去了，对你来说这里全程作,1
413,现在昭闵就算叫全疯子也没这么跳 当初作为新人初来乍到就这么做你觉得多少人认可？,1
414,弹幕里的小屁孩们，多和人交际交际吧，连综艺现实都分不清,1
415,最开始就是见到这个封面进来的,1
416,自己花了一大半，还生气？？！！呵呵,1
417,你不喜欢全跟导演说去 你出钱让导演撤掉全啊 就会在这里说,1
418,不喜欢没人比你们看  你们比剧组还知道了？  ,1
419,不良智孝看没有自己做错了还飙的不要乱扯人,1
420,别说了 杠精直接c位出兵就完事 （我就是没素质，吹咩）,1
421,关弹幕,1
422,弹幕杠精,1
423,这里的弹幕，真的不能入眼。仇女症的人太多了。,1
424,大神说在镜头面前做什么都不过分，你要是看不过眼不看不就行了，bb什么？,1
425,可是其他人没有，谢谢,1
426,所以说你们是双标狗啊哈哈哈哈哈哈,1
427,吃得最多还嫌人家说她综艺效果真好笑,1
428,个人觉得，没什么好的，。花了一半钱，，说什么效果，，又不是后面人少，总是说效果什么的人。会不会有点败坏路人好感。,1
429,人家全有生气？看不出来，是你们自己心里有问题所以才觉得别人有问题吧,1
430,杠精都闭嘴啊不看关了就好了,1
431,P的仇女症真能胡掰掰，为啥那么多人不喜欢她心里没点13数吗,1
432,想要黑一个人，无论做什么都会被说，欲加之罪何患无辞,1
433,刘在石花六千是因为是第一个人，而且就是没有让人不舒服的感觉，全就是有点用力过猛了。应该是综艺的人设一开始不好掌握,1
434,效果见仁见智吧，有人会觉得无所谓有人会觉得过，但总归这是综艺，别上升人品,1
435,每次看Running Man 不管锦集还是完整的一期都有人在抱着情怀斯比,1
436,大家都白嫖 有的人偏偏批话多,1
437,都是杠精双标,1
438,一群玻璃心,1
439,节目效果和素质是两码事好吗 别混合概念,1
440,关弹幕保智商,1
441,你们觉得不好笑，又怎样，再说人家有本事上RunningMan你们有本事上一个啊,1
442,新人很没分寸 不搞笑又没梗 每次都是强行搞笑 很尬很反感 梁好歹还有综艺感口才好一点,1
443,垃圾的键盘手，看看18年人家做的多好,1
444,看个综艺七个不服八个不愤的你行你上啊,1
445,哈哈哈全一个人用了一半，这时候怎么没人洗白了？,1
446,人善被狗欺,1
447,怀旧的就去看过去的，非要跑这里来找骂,1
448,前两年光洙也挺过的 现在大多数人不也真香吗,1
449,讨论综艺过不过的都是孤儿么,1
450,脸皮厚就叫综艺感了？智孝大神这么多年也没真让人反感过呀,1
451,不是怀旧好吗 新来的要是真的能很好表现 没有人会排斥的 ,1
452,恶心全昭旻,1
453,一般我都关了弹幕看...看着你们嫌弃这嫌弃那...好像就能让她知道一样...我就觉得全很好，综艺感很强！,1
454,做作女,1
455,再怎么为了节目，为了效果，她在这的表现的确不怎么样，令人生恶,1
456,看个综艺也喷，什么素质。人家那边也没什么，自己就高潮了。,1
457,觉得太作,1
458,别拿自己当圣母么,1
459,问题是她这样做节目效果也不咋样啊，如果真的节目效果好就不会这么多人不喜欢她的,1
460,哇，她可能就是为了吃呗？一辈子没吃过饭？非得上这吃来？你们是这意思么，我告诉你什么才叫没综艺感，上来谦让，自己第一个买个泡泡糖才叫没综艺感，还是不懂的话去看看奔兄,1
461,有标准的，自己去做一个综艺，按你的标准做，做得出同样的效果能得到认可再来，不要再秀你的智商了,1
462,这么多人不认可 就你认可 还觉得就你对？,1
463,你不觉得好笑会有人觉得好笑的,1
464,我看了弹幕 大多数人觉得一点都不好笑 谢谢,1
465,辛苦键盘侠们了啊,1
466,六分半了，您老还没发泄完?这么看不惯吗？,1
467,一股酸臭味的弹幕,1
468,我只想说 为什么要对一个人有那么大的恶意啊 全还拿了优秀奖好嘛,1
469,光猪背叛怎么没人说？不自己想想？,1
470,看这综艺这么说光洙背叛你们就认为是个人渣了？鼻子叔是弱智？,1
471,全初期，再不断的找定位。大家也很帮忙，梁在这方面就比全昭旻差很多了。,1
472,太把自己当人看了在这嫌这嫌那的,1
473,不喜欢要说出来？你有本事跑去官方的ins去骂 一点素质都没有,1
474,如果全妹子不是买最多，后面国哥抽到四号会有那么好的效果?真不知道你有什么资格在这挑三拣四的!,1
475,嘛乐个屁，知道你嘛什么，草民吗，都是狗市，7012啊不知道,1
476,一帮子连收视率都不贡献的在这白嫖的家伙们  好意思   你为什么点进来心里没数吗？,1
477,屏蔽一个人基本就没什么7788的弹幕了，想笑,1
478,我很喜欢全。不知道为什么那么多人喷。光洙第一个的话用完都是可能的？是不是光洙都要被喷？,1
479,以后得关弹幕了。双标的真多啊,1
480,B站小学生太多了,1
481,不清楚有些人为什么那么仇恨新人,1
482,不是我说  你觉得你就有那能力去演综艺嘛  在这酸,1
483,讨厌的滚出去可以吧？在这骂个锤子？,1
484,那些骂全妹的快闭嘴吧，她本来的设定就是疯子，这么做一点也不过分，难道就真的以为其他人在这里吃不到节目组就真的不给吃的了么？综艺啊大哥！！,1
485,都说了并没有让人开心有些人扯什么呢,1
486,你觉得不好笑是你的事情，大多数人觉得好玩就行了，,1
487,可是呢，大多数人都觉得不好玩，你看看其他成员的反应？,1
488,你叫大多数人?,1
489,因为有些人只能活在过去,1
490,事实上，有没有笑点各人看法不一，但她确实抢了很多人设,1
491,背叛什么的如果搞笑自然没有人怼阿,1
492,不好意思，我姓大，名多数人，我觉得很搞笑,1
493,说不好的我求求你别在看了好吗 留给那些觉得好的人在这看行么？,1
494,有2017年以前runningman的资源吗，我在网上找不到，想重温来着,1
495,有意思吗在这骂。不喜欢别看。,1
496,你们的弹幕礼仪呢？？？,1
497,加了新人后就没老人了吗，凭什么让我们只看之前的，老子来看老人的OK,1
498,前面说我们不配当老粉的，敢不敢把你b脸伸过来，一群老粉扇不死你，像你这样的人也就只敢在网络世界里叫嚣。,1
499,当老粉还得你给脸？能说这话的配做老粉？,1
500,咋又吵架了呢哈哈哈哈,1
501,说其他成员原来也有全这样表现的，你们怕是没有看早期的rm吧，成员的设定都是后面才有的，谁刚开始就像全这样疯，这不是自己找骂,1
502,因为她所有人什么都没吃，就算是综艺效果，以前的成员们都是努力为了完成任务，她呢？,1
503,同样新人为什么人家没人说 不从自己身上找原因 老卖什么惨,1
504,二周目,1
505,竟然没有弹幕？？？,1
506,现在是2018年8月24号 21点15分，其他三百多位小伙伴泥萌好,1
507,弹幕呢,1
508,弹幕呢,1
509,有一个人一直在爆粗口，好没素质,1
510,辣鸡抖音，各位我先滚了,1
511,八分钟。。有点菜说实话,1
512,三分钟？我一分钟就可以了,1
513,弹幕能不能闭嘴，不知道在那装什么,1
514,狗贼这智商玩奴隶战蒙过去的吧诈和,1
515,看攻略还有脸bb,1
516,我就看着一群看了攻略然后出来瞎吹的人，有趣,1
517,这BGM没人好评吗,1
518,你们这些已经过了的能不能别BB,1
519,没人？？？,1
520,前面12345的我告诉你我123456789都出来过,1
521,要你们在这里bb？睿智,1
522,看过攻略的闭嘴好吗,1
523,弹幕在这一个劲说有啥用……又不是直播,1
524,搞不懂了 自己看了攻略了还在一个人家看不到的视频里发弹幕说有什么意义 ,1
525,弹幕别BB了 难道你们是一遍过的吗,1
526,前面说的对，一个视频，一群“大神”在这解说怎么过,1
527,这个本来就有难度，有几个人可以一遍就过，有几个没看攻略的。。,1
528,你以为弹幕里有几个比狗贼快的←_←,1
529,看过攻略的请不要在这里bb，谢谢,1
530,这个还得看攻略的，你的智商没有充值,1
531,失败的打脸不,1
532,错你个头，只看攻略就来bb的废物,1
533,又不是唯一解的自己会了大不了别看视频呗还在这说啥,1
534,又不止一种打法，挣个屁啊,1
535,坐等打脸,1
536,错了的打脸吗,1
537,前面少1的打脸不,1
538,就一直bn一种方法 真的是看了攻略在这瞎说 搞的好像只有一种方法多一样,1
539,盲猜充钱,1
540,充钱呗,1
541,举报,1
542,很显然是充钱,1
543,妈妈，就是这个人教我充钱,1
544,要钱的，散了吧,1
545,已举报-。。。。。。,1
546,充钱,1
547,人呢,1
548,充钱呗,1
549,充值呗,1
550,从未见过如此厚颜无耻之人,1
551,肯定是充钱,1
552,你在这给我放屁呢,1
553,充钱,1
554,直接举报,1
555,举报不谢,1
556,我感觉我的智商受到了侮辱,1
557,我滴妈，骗浏览量啊，已经举报,1
558,第2048466158151,1
559,第一不谈了,1
560,第四怎么说,1
561,第十怎么说,1
562,第二不谈,1
563,第一次这么前,1
564,第768怎么说,1
565,第二不谈,1
566,一小时前,1
567,第37怎么说,1
568,没人吗？,1
569,四小时前,1
570,1166播放,1
571,人呢？,1
572,前面那个说真话有的人就是当面一套，背面一套,1
573,弹幕呢,1
574,六分钟前发布...,1
575,13分钟前,1
576,1小时哇,1
577,见封滚,1
578,三小时前,1
579,一小时前,1
580,一小时前,1
581,15分钟前,1
582,没人？,1
583,六小时前发布哈哈,1
584,四小时前,1
585,一小时前,1
586,我九分钟前发布,1
587,第一，，，，，,1
588,第5555播放。。。。,1
589,还真有这人,1
590,一个小时前在此,1
591,我我我上来了？▄█?█？,1
592,暂停看红字,1
593,18分钟我就说怎么没人,1
594,没人吗,1
595,没有弹幕是什么东西,1
596,第四条弹幕。!,1
597,我敲0.5倍速好懒,1
598,那个红字，不懂就别乱说，初一学完你就知道怎么回事了,1
599,第一个弹幕献给这个视频,1
600,光头的你闭嘴行吗,1
601,一群迷你狗看mc被黑了就来发弹幕庆祝 要不要点b脸,1
602,播放1。。。万，截图为证,1
603,一群mini勾，在得知网易被黑之后，再此发弹幕庆祝,1
604,皆大欢喜皆大欢喜，早都想让辣鸡网易凉了，他把mc变成小学生专属游戏之一,1
605,欢喜个屁啊，谁给你搞来的正版版权,1
606,因为那是网易的，既然不喜欢玩个屁,1
607,"已举报,请不要挑事",1
608,辣鸡网易封我五个号！,1
609,你黑了也没用人家你一件改回来,1
610,喷jb啊 至少还是mc啊 你们都不是真mc粉 这对没正版的人是福利啊 天天差评,1
611,辣鸡网易mc,1
612,我看到一个叫 CCTV 卢本伟的，哈哈,1
613,为什么网络版还那么多人？我感觉一点都不好玩,1
614,。。。报复网易干嘛，小学生无脑跟风?mc在网易这就毁了?爱玩玩不玩滚，别在这跟风，如果没有网易你们想想看版权会怎样,1
615,那他破坏我的体验（辣鸡网易）很好咯水军吧,1
616,我之前就看见了有人骂网易,1
617,见封滚,1
618,等级第三在此..,1
619,播放量1。0弹幕已截图,1
620,诶呀，没人么,1
621,一分钟之前,1
622,音效都没有辣鸡玩意,1
623,赛个屁哦，这是口袋妖怪好吧,1
624,都8120年了，还有人动不动就说抄袭的。,1
625,光有名字，却毫无人物特点，毁神话形象,1
626,小牛？ 你告诉我哪个是小牛？,1
627,充钱  然后莽过去,1
628,充钱不刷照样没用,1
629,怎么没人呢？,1
630,空降成功,1
631,弄死,1
632,两小时,1
633,俩小时,1
634,两小时,1
635,两小时,1
636,就有人,1
637,两小时,1
638,就有人,1
639,两小时,1
640,两小时,1
641,两小时,1
642,两小时,1
643,就有人,1
644,两小时,1
645,两小时,1
646,这么多人看的吗。。,1
647,就有人,1
648,两小时,1
649,没有人,1
650,两小时,1
651,各位帮忙举报一下底端弹幕↓,1
652,下面的举报,1
653,下方白字已举报，不谢,1
654,怎么可能是一个人 别人刷不关你事 闭嘴球球你了,1
655,没弹幕了？,1
656,来了,1
657,来了,1
658,第一#！,1
659,1.5还有点慢。。。,1
660,第一次关德国毛事,1
661,东德大？不知道就不要瞎说,1
662,德国:我们先假意忏悔罪行跪舔苏联,1
663,德国:我们先假意忏悔二战罪行跪舔苏联等统一了在制裁他∠※,1
664,那些同情德国的人有没有想过二战受害者的感受，德国统一离二战不到50年，仍有很多无辜受害者幸存,1
665,戈地图是个傻子，叶利钦才是叛徒，地图就那智商说叛徒都是高抬他了,1
